"","time","FLOW","SALT","TEMP"
"346",1990-09-11,1.098693648,10,20.7682141
"347",1990-09-12,1.098693648,10,20.62492173
"348",1990-09-13,1.098693648,10,20.46447342
"349",1990-09-14,1.58574341,10,20.17613934
"350",1990-09-15,1.359208636,10,19.99032346
"351",1990-09-16,1.24594125,10,19.84072239
"352",1990-09-17,1.132673864,10,19.67799579
"353",1990-09-18,1.132673864,10,19.49144521
"354",1990-09-19,1.24594125,10,19.30336179
"355",1990-09-20,1.132673864,10,19.14144155
"356",1990-09-21,1.24594125,10,18.87485256
"357",1990-09-22,1.132673864,10,18.68569866
"358",1990-09-23,1.132673864,10,18.5151844
"359",1990-09-24,1.132673864,10,18.33946477
"360",1990-09-25,1.132673864,10,18.16309678
"361",1990-09-26,1.098693648,10,17.98802115
"362",1990-09-27,1.08736691,10,17.81209694
"363",1990-09-28,1.064713432,10,17.6353233
"364",1990-09-29,1.098693648,10,17.44816188
"365",1990-09-30,1.110020386,10,17.23305314
"366",1990-10-01,1.098693648,10,17.03753164
"367",1990-10-02,1.098693648,10,16.83116397
"368",1990-10-03,1.359208636,10,16.53099457
"369",1990-10-04,1.472476022,10,16.2544719
"370",1990-10-05,1.24594125,10,16.06447891
"371",1990-10-06,1.24594125,10,15.88348785
"372",1990-10-07,1.132673864,10,15.66136638
"373",1990-10-08,1.132673864,10,15.44239095
"374",1990-10-09,1.24594125,10,15.12914776
"375",1990-10-10,1.359208636,10,14.69449014
"376",1990-10-11,1.472476022,10,14.43431233
"377",1990-10-12,1.472476022,10,14.27203467
"378",1990-10-13,1.359208636,10,14.0704235
"379",1990-10-14,1.472476022,10,13.79085547
"380",1990-10-15,1.472476022,10,13.55875206
"381",1990-10-16,1.472476022,10,13.34414926
"382",1990-10-17,1.472476022,10,13.08379834
"383",1990-10-18,1.58574341,10,12.7703845
"384",1990-10-19,1.359208636,10,12.55880353
"385",1990-10-20,1.359208636,10,12.34576133
"386",1990-10-21,1.359208636,10,12.10811398
"387",1990-10-22,1.359208636,10,11.88746202
"388",1990-10-23,1.359208636,10,11.67055031
"389",1990-10-24,1.359208636,10,11.45421008
"390",1990-10-25,1.359208636,10,11.23967966
"391",1990-10-26,1.24594125,10,11.02443967
"392",1990-10-27,1.359208636,10,10.81417192
"393",1990-10-28,1.24594125,10,10.60663297
"394",1990-10-29,1.24594125,10,10.39807075
"395",1990-10-30,1.24594125,10,10.1943458
"396",1990-10-31,1.24594125,10,9.991942679
"397",1990-11-01,1.24594125,10,9.790418028
"398",1990-11-02,1.24594125,10,9.588434127
"399",1990-11-03,1.58574341,10,9.356970654
"400",1990-11-04,1.24594125,10,9.051418718
"401",1990-11-05,1.24594125,10,8.765175417
"402",1990-11-06,1.24594125,10,8.562877316
"403",1990-11-07,1.24594125,10,8.360132884
"404",1990-11-08,1.24594125,10,8.158438236
"405",1990-11-09,1.24594125,10,7.905168939
"406",1990-11-10,1.24594125,10,7.705123704
"407",1990-11-11,1.24594125,10,7.515590624
"408",1990-11-12,1.24594125,10,7.323605664
"409",1990-11-13,1.132673864,10,7.133916783
"410",1990-11-14,1.132673864,10,6.945267881
"411",1990-11-15,1.132673864,10,6.759301508
"412",1990-11-16,1.24594125,10,6.575081956
"413",1990-11-17,1.132673864,10,6.391967906
"414",1990-11-18,1.132673864,10,6.211255158
"415",1990-11-19,1.132673864,10,6.032091808
"416",1990-11-20,1.472476022,10,5.846197845
"417",1990-11-21,1.24594125,10,5.54077004
"418",1990-11-22,1.132673864,10,5.361167679
"419",1990-11-23,1.24594125,10,5.212171845
"420",1990-11-24,1.132673864,10,5.054045543
"421",1990-11-25,1.132673864,10,4.887674338
"422",1990-11-26,1.110020386,10,4.705593116
"423",1990-11-27,1.472476022,10,4.389746538
"424",1990-11-28,1.359208636,10,4.20383302
"425",1990-11-29,1.24594125,10,4.061117575
"426",1990-11-30,1.132673864,10,3.911365286
"427",1990-12-01,1.132673864,10,3.756421973
"428",1990-12-02,1.07604017,10,3.631383166
"429",1990-12-03,1.042059954,10,3.353200284
"430",1990-12-04,0.996753,10,3.116789293
"431",1990-12-05,1.019406478,10,2.97897638
"432",1990-12-06,1.064713432,10,2.836521498
"433",1990-12-07,1.110020386,10,2.691257803
"434",1990-12-08,1.132673864,10,2.545771707
"435",1990-12-09,1.24594125,10,2.40009033
"436",1990-12-10,1.24594125,10,2.260925515
"437",1990-12-11,1.24594125,10,2.130146047
"438",1990-12-12,1.24594125,10,1.995834125
"439",1990-12-13,1.24594125,10,1.870795252
"440",1990-12-14,1.24594125,10,1.750945189
"441",1990-12-15,1.24594125,10,1.589666361
"442",1990-12-16,1.132673864,10,1.468920778
"443",1990-12-17,1.132673864,10,1.346245256
"444",1990-12-18,1.132673864,10,1.218597908
"445",1990-12-19,1.132673864,10,1.120229971
"446",1990-12-20,1.121347126,10,1.016405903
"447",1990-12-21,1.132673864,10,0.917533957
"448",1990-12-22,1.121347126,10,0.823469229
"449",1990-12-23,1.064713432,10,0.734117292
"450",1990-12-24,1.042059954,10,0.64824203
"451",1990-12-25,1.019406478,10,0.56642005
"452",1990-12-26,0.996753,10,0.488891163
"453",1990-12-27,0.974099522,10,0.418424903
"454",1990-12-28,0.996753,10,0.354308023
"455",1990-12-29,1.042059954,10,0.225503718
"456",1990-12-30,0.974099522,10,0.147126047
"457",1990-12-31,0.951446046,10,0.086542693
"458",1991-01-01,0.928792568,10,0.030556023
"459",1991-01-02,0.928792568,10,-0.023644684
"460",1991-01-03,0.928792568,10,-0.075847756
"461",1991-01-04,0.90613909,10,-0.108401568
"462",1991-01-05,0.90613909,10,-0.154213967
"463",1991-01-06,0.883485614,10,-0.210435121
"464",1991-01-07,0.883485614,10,-0.245531822
"465",1991-01-08,0.883485614,10,-0.275281103
"466",1991-01-09,0.90613909,10,-0.305020556
"467",1991-01-10,0.928792568,10,-0.318860232
"468",1991-01-11,0.951446046,10,-0.329769381
"469",1991-01-12,0.974099522,10,-0.369882501
"470",1991-01-13,0.996753,10,-0.383983093
"471",1991-01-14,1.019406478,10,-0.394191961
"472",1991-01-15,1.064713432,10,-0.385183736
"473",1991-01-16,1.008079738,10,-0.399875634
"474",1991-01-17,0.883485614,10,-0.403713746
"475",1991-01-18,1.030733216,10,-0.399216413
"476",1991-01-19,0.951446046,10,-0.394973188
"477",1991-01-20,0.951446046,10,-0.385640008
"478",1991-01-21,0.951446046,10,-0.3717633
"479",1991-01-22,0.951446046,10,-0.351274589
"480",1991-01-23,0.974099522,10,-0.333185649
"481",1991-01-24,0.951446046,10,-0.308128108
"482",1991-01-25,0.928792568,10,-0.279705465
"483",1991-01-26,0.90613909,10,-0.248191703
"484",1991-01-27,0.90613909,10,-0.213904547
"485",1991-01-28,0.90613909,10,-0.173566668
"486",1991-01-29,0.883485614,10,-0.130484283
"487",1991-01-30,0.860832136,10,-0.085898704
"488",1991-01-31,0.83817866,10,-0.037151704
"489",1991-02-01,0.883485614,10,0.015673299
"490",1991-02-02,0.928792568,10,0.070930624
"491",1991-02-03,0.951446046,10,0.106846469
"492",1991-02-04,0.951446046,10,0.151211154
"493",1991-02-05,0.974099522,10,0.213373664
"494",1991-02-06,0.974099522,10,0.285216135
